epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,33273.4,0.86416,0.46801,1.57984,0.96215,0.99474,0.99097,0.94462,0.55088,0.29201,1.22854,0.000234693,0.000234693,0.000234693
34,36300.4,0.84191,0.4637,1.57146,0.95162,0.99474,0.98705,0.94955,0.51355,0.28447,1.24375,0.000233743,0.000233743,0.000233743
35,39334.3,0.87162,0.47341,1.57012,0.95922,0.98421,0.99259,0.95824,0.50516,0.28398,1.25119,0.000232767,0.000232767,0.000232767
36,42364.9,0.86611,0.48132,1.58729,0.94877,0.99474,0.99185,0.95793,0.49621,0.28549,1.2599,0.000231764,0.000231764,0.000231764
37,45393.2,0.85292,0.47303,1.56261,0.97899,0.98083,0.99356,0.94271,0.55981,0.29214,1.27549,0.000230736,0.000230736,0.000230736
38,48419,0.82518,0.45543,1.52416,0.96626,0.98421,0.99236,0.94838,0.50949,0.27606,1.28301,0.000229681,0.000229681,0.000229681
39,51449.2,0.83275,0.45945,1.52684,0.97029,0.98421,0.99082,0.95203,0.51942,0.30455,1.27233,0.000228601,0.000228601,0.000228601
40,54479.1,0.8381,0.46665,1.55873,0.94944,0.98825,0.98966,0.95508,0.48058,0.30565,1.24794,0.000227496,0.000227496,0.000227496
41,57505.3,0.82251,0.46656,1.53197,0.95564,0.98947,0.98959,0.95408,0.47511,0.30752,1.26809,0.000226366,0.000226366,0.000226366
42,60525.6,0.8345,0.46423,1.54383,0.97375,0.96316,0.99117,0.95712,0.47043,0.27472,1.22474,0.000225211,0.000225211,0.000225211
43,63543.8,0.82566,0.45718,1.53721,0.94968,0.99329,0.99007,0.9592,0.50704,0.28995,1.20448,0.000224032,0.000224032,0.000224032
44,66567,0.79927,0.44637,1.52812,0.96866,0.97617,0.99214,0.9544,0.47447,0.3032,1.24637,0.000222828,0.000222828,0.000222828
45,69583.7,0.87311,0.48172,1.58345,0.96386,0.98262,0.99155,0.94831,0.50504,0.30537,1.26126,0.000221601,0.000221601,0.000221601
46,72601.9,0.86443,0.47735,1.56896,0.96327,0.98947,0.9927,0.9591,0.48311,0.27637,1.38702,0.00022035,0.00022035,0.00022035
47,75632.2,0.84746,0.47744,1.55828,0.96353,0.99474,0.99239,0.95888,0.48293,0.27565,1.27762,0.000219076,0.000219076,0.000219076
47,102826,0.88769,0.51552,1.58462,0.96905,0.98866,0.98696,0.93421,0.55829,0.30835,1.26645,0.000219076,0.000219076,0.000219076
48,105856,0.85162,0.47776,1.58524,0.97715,0.98947,0.99378,0.95516,0.50663,0.29183,1.25674,0.000217779,0.000217779,0.000217779
49,108894,0.82272,0.4538,1.55604,0.96422,0.99295,0.99217,0.95344,0.51022,0.29963,1.26474,0.00021646,0.00021646,0.00021646
50,111928,0.81989,0.46031,1.54094,0.97671,0.98947,0.99401,0.95541,0.47476,0.25861,1.44276,0.000215118,0.000215118,0.000215118
51,114950,0.79363,0.4431,1.532,0.9637,0.99474,0.99338,0.97151,0.45203,0.27442,1.29457,0.000213754,0.000213754,0.000213754
52,117967,0.79505,0.44482,1.50098,0.9569,0.99474,0.9926,0.95478,0.49032,0.28303,1.3953,0.000212369,0.000212369,0.000212369
53,120986,0.80965,0.44522,1.54321,0.97075,0.97895,0.99204,0.95891,0.4853,0.28073,1.26592,0.000210963,0.000210963,0.000210963
54,124012,0.80933,0.44568,1.52118,0.9731,0.97895,0.99322,0.95689,0.47204,0.26271,1.43287,0.000209535,0.000209535,0.000209535
55,127038,0.79389,0.44435,1.54175,0.96392,0.98441,0.9912,0.95728,0.49907,0.27147,1.29187,0.000208087,0.000208087,0.000208087
56,130062,0.80197,0.44643,1.48922,0.96917,0.9926,0.99131,0.95881,0.46307,0.27289,1.30399,0.000206619,0.000206619,0.000206619
57,133085,0.7864,0.43392,1.52173,0.96784,0.99474,0.99227,0.95238,0.49015,0.27662,1.23055,0.000205131,0.000205131,0.000205131
58,136105,0.78064,0.43352,1.51464,0.95863,0.99474,0.98655,0.95694,0.47437,0.26518,1.22673,0.000203624,0.000203624,0.000203624
