epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3292.04,0.75756,0.64528,1.41815,0.96649,0.98397,0.99225,0.91787,0.42312,0.39724,1.00953,0.0675077,0.000328205,0.000328205
2,6385.99,0.6816,0.50296,1.34137,0.97448,0.99038,0.99333,0.92337,0.40269,0.40826,0.9987,0.0345075,0.000661377,0.000661377
3,9489.41,0.66556,0.46751,1.32311,0.9391,0.97756,0.98689,0.93316,0.40437,0.36918,1.00396,0.00150672,0.0009939,0.0009939
4,12489.3,0.64189,0.45077,1.29646,0.92499,0.94864,0.9836,0.92413,0.4094,0.40085,0.9959,0.000997803,0.000997803,0.000997803
5,15524.3,0.63011,0.43939,1.30181,0.98085,0.98518,0.99338,0.95577,0.33932,0.33365,0.94605,0.000996097,0.000996097,0.000996097
6,18533.8,0.59439,0.41097,1.2684,0.98459,0.98397,0.99371,0.94846,0.39481,0.27682,0.98426,0.000993906,0.000993906,0.000993906
7,21685.7,0.59242,0.41633,1.24336,0.96303,0.96154,0.99002,0.94217,0.34531,0.37499,0.94423,0.000991232,0.000991232,0.000991232
8,72116.9,0.60026,0.42767,1.26924,0.98004,0.98397,0.99386,0.95304,0.33323,0.29112,0.93305,0.000988079,0.000988079,0.000988079
9,75369.1,0.59065,0.41976,1.27386,0.98059,0.98077,0.9942,0.96062,0.32747,0.25918,0.92713,0.000984449,0.000984449,0.000984449
10,78517.2,0.57317,0.40755,1.23391,0.98107,0.99671,0.99426,0.96351,0.3184,0.25924,0.92362,0.000980345,0.000980345,0.000980345
11,81692.4,0.57625,0.4061,1.24824,0.99268,0.98397,0.99422,0.95873,0.33002,0.28948,0.91884,0.000975773,0.000975773,0.000975773
12,84928.4,0.55093,0.39418,1.21904,0.99039,0.99092,0.99454,0.971,0.33216,0.23349,0.92626,0.000970736,0.000970736,0.000970736
13,88345.2,0.54462,0.39581,1.22593,0.98338,0.99359,0.99478,0.95968,0.31525,0.28447,0.90288,0.000965239,0.000965239,0.000965239
14,91801.8,0.54352,0.38904,1.23071,0.99228,0.99038,0.99461,0.96516,0.312,0.24918,0.92343,0.000959289,0.000959289,0.000959289
15,95270.1,0.53383,0.37956,1.2267,0.99631,1,0.99449,0.97215,0.30289,0.2202,0.90421,0.000952889,0.000952889,0.000952889
16,98711.8,0.51849,0.37191,1.223,0.98934,0.99359,0.99468,0.96262,0.32414,0.23034,0.92277,0.000946048,0.000946048,0.000946048
17,102167,0.52109,0.3712,1.21992,0.98922,0.98397,0.99386,0.96968,0.29709,0.21417,0.90043,0.000938772,0.000938772,0.000938772
18,105655,0.51689,0.36981,1.20322,0.99358,0.99254,0.99487,0.96358,0.32069,0.22666,0.91125,0.000931067,0.000931067,0.000931067
19,109209,0.50934,0.36885,1.20038,0.99035,0.98637,0.99369,0.96726,0.3347,0.2309,0.9254,0.000922942,0.000922942,0.000922942
20,113080,0.50461,0.36637,1.19646,0.98621,0.98718,0.99406,0.97222,0.29606,0.22941,0.89258,0.000914405,0.000914405,0.000914405
21,116835,0.50865,0.36949,1.20236,0.98002,0.98718,0.99371,0.96037,0.32243,0.25632,0.91364,0.000905463,0.000905463,0.000905463
22,121166,0.49573,0.36058,1.2005,0.98817,0.99359,0.99455,0.9641,0.32176,0.23227,0.91275,0.000896127,0.000896127,0.000896127
