epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.305,1.99113,2.78149,2.96545,0.13156,0.10345,0.07581,0.02567,2.55409,10.3925,3.31574,0.08614,0.00014,0.00014
2,647.98,1.8829,1.24995,2.21554,0.89267,0.51724,0.55064,0.36779,1.67358,14.0102,1.72567,0.0712899,0.000289929,0.000289929
3,939.35,1.66732,1.15211,1.90183,0.88964,0.65517,0.71988,0.43586,1.89045,2.26239,1.55371,0.0564396,0.00043957,0.00043957
4,1199.7,1.58331,0.99759,1.85146,0.96281,1,0.995,0.69848,1.41091,1.38196,1.59047,0.0415887,0.000588704,0.000588704
5,1496.75,1.55763,0.969,1.80331,0.93378,1,0.99203,0.74111,1.30696,0.92327,1.74052,0.0267371,0.000737112,0.000737112
6,1785.39,1.47215,0.86213,1.78861,0.9414,0.93103,0.97635,0.7452,1.24246,1.30462,1.6014,0.0118846,0.000884576,0.000884576
7,2024.4,1.41392,0.92034,1.87806,0.96105,1,0.96767,0.72654,1.3171,1.65,1.78056,0.000991232,0.000991232,0.000991232
8,2309.54,1.37329,0.86892,1.87758,0.93303,1,0.97863,0.73224,1.23168,1.05667,1.74662,0.000988079,0.000988079,0.000988079
9,2599.32,1.23702,0.80909,1.87845,0.96284,1,0.97567,0.77653,1.19855,1.18787,1.50067,0.000984449,0.000984449,0.000984449
10,2835.43,1.33646,0.8517,1.86068,0.9057,0.99375,0.95579,0.71235,1.26168,1.00094,1.68103,0.000980345,0.000980345,0.000980345
11,3157.95,1.24638,0.83903,1.88328,0.92961,1,0.97996,0.79387,1.17421,0.90905,1.70631,0.000975773,0.000975773,0.000975773
12,3414.53,1.18704,0.75285,1.7359,0.95091,1,0.987,0.84062,1.04197,0.78704,1.48824,0.000970736,0.000970736,0.000970736
13,3701.07,1.26466,0.81126,1.71893,0.96311,1,0.98267,0.82537,1.09229,0.73521,1.65608,0.000965239,0.000965239,0.000965239
14,3942.54,1.20688,0.82387,1.7598,0.9627,1,0.98133,0.80536,1.06482,0.78571,1.82841,0.000959289,0.000959289,0.000959289
15,4195.62,1.18086,0.78925,1.74596,0.95746,1,0.98467,0.82973,1.0657,0.86823,1.68249,0.000952889,0.000952889,0.000952889
16,4443.05,1.13013,0.76565,1.75118,0.95725,1,0.98367,0.84032,0.97898,1.07286,1.62195,0.000946048,0.000946048,0.000946048
17,4680.89,1.08063,0.73852,1.81643,0.92726,1,0.97647,0.84757,0.89008,0.83584,1.54367,0.000938772,0.000938772,0.000938772
18,4865.58,1.17752,0.79334,1.77013,0.92923,1,0.97918,0.81991,0.97502,0.74186,1.81333,0.000931067,0.000931067,0.000931067
19,5130.51,1.0599,0.72869,1.77707,0.96643,0.99285,0.98833,0.85631,0.87257,0.62897,1.70909,0.000922942,0.000922942,0.000922942
20,5407.39,1.01352,0.70661,1.75894,0.93239,1,0.99203,0.88881,0.81331,0.57254,1.54428,0.000914405,0.000914405,0.000914405
21,5625.73,0.9357,0.65476,1.62438,1,0.99849,0.995,0.85986,0.89155,0.57581,1.70095,0.000905463,0.000905463,0.000905463
22,5945.42,0.98126,0.66638,1.72703,0.99072,0.96552,0.99306,0.85285,0.87214,0.57531,1.74719,0.000896127,0.000896127,0.000896127
23,6218.99,1.06506,0.70154,1.73955,0.8418,0.91767,0.95965,0.85872,0.76914,0.63995,1.54328,0.000886404,0.000886404,0.000886404
24,6442.1,1.01724,0.62838,1.68468,0.98242,0.96552,0.99059,0.89478,0.78022,0.61048,1.51802,0.000876305,0.000876305,0.000876305
25,6702.07,1.03203,0.6957,1.74155,0.95252,0.89655,0.96876,0.86579,0.79321,0.70601,1.53529,0.000865839,0.000865839,0.000865839
26,6953.23,1.0267,0.70851,1.70823,0.99143,0.96552,0.98851,0.90386,0.70828,0.56715,1.45049,0.000855018,0.000855018,0.000855018
27,7247.9,1.03587,0.66748,1.7465,0.96665,0.99958,0.993,0.89911,0.78225,0.54592,1.77115,0.000843851,0.000843851,0.000843851
28,7522.75,0.94635,0.66304,1.67598,0.99599,1,0.995,0.8978,0.7239,0.47118,1.62485,0.000832349,0.000832349,0.000832349
29,7819.3,0.91671,0.65486,1.66822,0.99444,1,0.995,0.8894,0.72129,0.45862,1.59865,0.000820525,0.000820525,0.000820525
30,8006.49,0.89173,0.60847,1.5732,0.96496,1,0.994,0.89455,0.73804,0.485,1.59152,0.000808389,0.000808389,0.000808389
31,8264.28,0.90681,0.63301,1.72982,0.96461,1,0.994,0.92504,0.63172,0.44714,1.49991,0.000795954,0.000795954,0.000795954
32,8507.53,0.92775,0.65388,1.73217,0.98976,1,0.995,0.9307,0.64857,0.43244,1.50048,0.000783231,0.000783231,0.000783231
33,8678.22,0.85124,0.59448,1.62718,0.99268,1,0.995,0.9437,0.5916,0.50565,1.45015,0.000770234,0.000770234,0.000770234
34,8966.98,0.92401,0.6432,1.67592,0.99329,0.96552,0.99219,0.89631,0.6711,0.49738,1.43839,0.000756976,0.000756976,0.000756976
35,9265.56,0.88579,0.59532,1.65426,0.99341,1,0.995,0.96401,0.54318,0.46854,1.38081,0.000743468,0.000743468,0.000743468
36,9567.67,0.89662,0.61174,1.64747,0.99723,1,0.995,0.93953,0.61117,0.4578,1.48134,0.000729725,0.000729725,0.000729725
37,9869.79,0.86243,0.58932,1.6524,0.99578,1,0.995,0.93961,0.56873,0.41859,1.47893,0.000715761,0.000715761,0.000715761
38,10134.6,0.86025,0.57901,1.77044,0.99685,1,0.995,0.9478,0.58728,0.40142,1.47793,0.000701588,0.000701588,0.000701588
39,10360.6,0.79481,0.56756,1.6207,0.99787,1,0.995,0.95176,0.56265,0.39795,1.4701,0.000687222,0.000687222,0.000687222
40,10629.6,0.84659,0.56999,1.61483,0.99819,1,0.995,0.92451,0.65084,0.39294,1.50716,0.000672675,0.000672675,0.000672675
