epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,16273,0.03029,0.29987,1.31242,0.99162,1,0.995,0.86868,0.01897,0.25667,0.99725,0.005545,0.005545,0.005545
47,16595.2,0.02967,0.30529,1.29746,0.99141,1,0.995,0.85766,0.01932,0.24206,1.02112,0.005446,0.005446,0.005446
48,16946.4,0.02888,0.31144,1.27886,0.9953,1,0.995,0.89837,0.01981,0.24839,1.09171,0.005347,0.005347,0.005347
49,17329.8,0.0301,0.31857,1.42462,0.99541,1,0.995,0.91547,0.01946,0.24304,1.02588,0.005248,0.005248,0.005248
50,17720.8,0.03038,0.31794,1.43586,0.99653,1,0.995,0.89312,0.01937,0.22141,1.04853,0.005149,0.005149,0.005149
51,18128.9,0.02713,0.30592,1.24198,0.99194,1,0.995,0.88105,0.01936,0.24042,1.14562,0.00505,0.00505,0.00505
52,18523.1,0.03142,0.32169,1.2963,0.99403,1,0.995,0.8763,0.02004,0.23287,1.06964,0.004951,0.004951,0.004951
53,18866.2,0.02979,0.29667,1.33239,1,0.9924,0.995,0.89882,0.01958,0.2186,1.06498,0.004852,0.004852,0.004852
54,19201.6,0.02765,0.30314,1.26624,0.96648,0.99448,0.994,0.90187,0.01894,0.23662,1.10823,0.004753,0.004753,0.004753
55,19537,0.02821,0.30823,1.29701,0.9914,1,0.995,0.90351,0.01955,0.26245,1.09958,0.004654,0.004654,0.004654
56,19869,0.0284,0.29421,1.29454,0.73813,1,0.91996,0.8295,0.02015,0.40241,1.0975,0.004555,0.004555,0.004555
57,20196.3,0.02926,0.30975,1.33296,1,0.99897,0.995,0.89326,0.02009,0.25036,1.08404,0.004456,0.004456,0.004456
58,20522.5,0.02793,0.30835,1.30479,0.99587,1,0.995,0.88256,0.01991,0.23121,1.19402,0.004357,0.004357,0.004357
59,20853.9,0.02812,0.29946,1.21648,0.99556,1,0.995,0.89016,0.02006,0.22296,1.25585,0.004258,0.004258,0.004258
60,21173.1,0.03114,0.30341,1.32672,0.90137,1,0.98186,0.85659,0.02027,0.27415,1.07633,0.004159,0.004159,0.004159
61,21503.8,0.02895,0.31219,1.3475,0.95835,1,0.993,0.85843,0.02122,0.25574,1.09825,0.00406,0.00406,0.00406
62,21836.5,0.02795,0.30045,1.29185,0.98566,1,0.995,0.86171,0.02087,0.23442,1.14199,0.003961,0.003961,0.003961
63,22161.7,0.0281,0.30311,1.23413,0.9922,1,0.995,0.88874,0.01964,0.23619,1.10171,0.003862,0.003862,0.003862
64,22486.7,0.02669,0.3003,1.19708,0.99444,1,0.995,0.89104,0.01951,0.23467,1.15501,0.003763,0.003763,0.003763
65,22805.4,0.02725,0.29649,1.19337,0.99671,1,0.995,0.90975,0.01855,0.22014,1.26321,0.003664,0.003664,0.003664
66,23131.5,0.02847,0.30488,1.30054,0.99799,1,0.995,0.90183,0.01897,0.21122,1.25579,0.003565,0.003565,0.003565
67,23455.8,0.02938,0.30669,1.31572,0.99712,1,0.995,0.90874,0.01908,0.22013,1.24518,0.003466,0.003466,0.003466
68,23794.7,0.02802,0.29611,1.23869,0.99721,1,0.995,0.89665,0.01886,0.21772,1.24223,0.003367,0.003367,0.003367
69,24114.6,0.0255,0.27337,1.17309,0.99664,1,0.995,0.88531,0.01934,0.21436,1.16193,0.003268,0.003268,0.003268
70,24444.3,0.02702,0.27928,1.25498,0.99673,1,0.995,0.90006,0.01925,0.21494,1.13409,0.003169,0.003169,0.003169
71,24785.7,0.02631,0.28284,1.22618,0.99502,1,0.995,0.88535,0.01921,0.22377,1.16363,0.00307,0.00307,0.00307
72,25116.7,0.02668,0.27643,1.19865,0.99669,1,0.995,0.90733,0.01901,0.2321,1.11205,0.002971,0.002971,0.002971
73,25440.8,0.02805,0.30284,1.29924,0.99595,1,0.995,0.90456,0.01894,0.23061,1.13145,0.002872,0.002872,0.002872
74,25756.6,0.027,0.28684,1.26605,0.99703,1,0.995,0.91932,0.01792,0.22615,1.08306,0.002773,0.002773,0.002773
75,26074.1,0.02692,0.28869,1.17008,0.99767,1,0.995,0.9212,0.01739,0.21402,1.09112,0.002674,0.002674,0.002674
76,26387.7,0.02757,0.27857,1.2584,0.99793,1,0.995,0.91058,0.01778,0.20965,1.10012,0.002575,0.002575,0.002575
77,26701.8,0.02504,0.26958,1.2137,0.99795,1,0.995,0.9154,0.01784,0.21665,1.02762,0.002476,0.002476,0.002476
78,27033.5,0.02724,0.28126,1.1955,0.99726,1,0.995,0.92183,0.01882,0.2196,1.03959,0.002377,0.002377,0.002377
79,27337,0.0252,0.26943,1.1755,0.99705,1,0.995,0.91275,0.0187,0.22088,1.05294,0.002278,0.002278,0.002278
80,27652,0.02465,0.26017,1.10436,0.99701,1,0.995,0.91513,0.01894,0.22565,1.08758,0.002179,0.002179,0.002179
81,27975,0.02579,0.27336,1.16243,1,0.99822,0.995,0.92552,0.018,0.22815,1.02638,0.00208,0.00208,0.00208
82,28334.7,0.02668,0.28709,1.16851,1,0.99975,0.995,0.93047,0.01702,0.23348,0.96726,0.001981,0.001981,0.001981
83,28703,0.02591,0.27733,1.15392,0.99899,1,0.995,0.92696,0.01685,0.22946,0.95417,0.001882,0.001882,0.001882
84,29120.1,0.02511,0.27057,1.15532,0.99862,1,0.995,0.93324,0.01715,0.2153,0.95157,0.001783,0.001783,0.001783
85,29574.6,0.02449,0.27364,1.20079,0.99776,1,0.995,0.95056,0.01689,0.20548,0.91794,0.001684,0.001684,0.001684
86,30034,0.02465,0.26376,1.12182,0.99759,1,0.995,0.94083,0.01692,0.20449,0.9181,0.001585,0.001585,0.001585
87,30505.4,0.02742,0.29139,1.22419,0.99721,1,0.995,0.94033,0.0169,0.20549,0.91927,0.001486,0.001486,0.001486
88,31037.4,0.02581,0.27604,1.2101,0.99831,1,0.995,0.93635,0.01681,0.20676,0.98192,0.001387,0.001387,0.001387
89,31561.1,0.02601,0.27891,1.17964,0.99831,1,0.995,0.94158,0.01628,0.20568,0.99337,0.001288,0.001288,0.001288
90,32135,0.02555,0.27751,1.24233,0.99823,1,0.995,0.95061,0.01608,0.20304,0.95175,0.001189,0.001189,0.001189
91,32669.3,0.0165,0.23417,0.90431,0.99792,1,0.995,0.95773,0.01604,0.20519,0.91348,0.00109,0.00109,0.00109
92,33232.4,0.01663,0.2266,0.89619,0.9981,1,0.995,0.95236,0.0163,0.21233,0.91096,0.000991,0.000991,0.000991
93,33773.8,0.01718,0.22761,0.88348,0.99837,1,0.995,0.9362,0.01675,0.21708,0.92609,0.000892,0.000892,0.000892
94,34366.2,0.01666,0.22431,0.89835,0.99842,1,0.995,0.93581,0.01682,0.21919,0.92277,0.000793,0.000793,0.000793
95,34945,0.01659,0.22233,0.86604,0.99916,1,0.995,0.92954,0.01677,0.21867,0.91543,0.000694,0.000694,0.000694
96,35575.1,0.01653,0.2214,0.8941,0.99794,1,0.995,0.93686,0.01675,0.21972,0.91157,0.000595,0.000595,0.000595
97,36189.9,0.0161,0.2127,0.89161,0.99849,1,0.995,0.9393,0.01676,0.22074,0.9115,0.000496,0.000496,0.000496
98,36802.2,0.01624,0.21053,0.89551,0.99922,1,0.995,0.94393,0.01669,0.22131,0.91265,0.000397,0.000397,0.000397
99,37089.6,0.01751,0.22729,0.90901,1,0.99999,0.995,0.94099,0.01667,0.22163,0.91739,0.000298,0.000298,0.000298
100,37363.5,0.01552,0.21604,0.89467,1,0.99858,0.995,0.94108,0.01663,0.2202,0.91973,0.000199,0.000199,0.000199
